,id,alias,name,image_url,url,review_count,rating,price,display_phone,Exact_Address,Postal_Code,City,Country,latitude,longitude,categories_list,menu_available,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche
0,-0iLH7iQNYtoURciDpJf6w,le-comptoir-de-la-gastronomie-paris,Le Comptoir de la Gastronomie,https://s3-media4.fl.yelpcdn.com/bphoto/nNraWWnw2MgnEPA6fh53pQ/o.jpg,https://www.yelp.com/biz/le-comptoir-de-la-gastronomie-paris?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,1397,4.5,€€,+33 1 42 33 31 32,"34 rue Montmartre, 75001 Paris, France",75001 Paris,Paris,FR,48.8645157999652,2.34540185646608,['French'],False,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-00:00,12:00-00:00,
1,BuJnfWI86tTxFUon071EKg,brasserie-bellanger-paris,Brasserie Bellanger,https://s3-media3.fl.yelpcdn.com/bphoto/TO1OgGv8ubk-Zew85QtCmw/o.jpg,https://www.yelp.com/biz/brasserie-bellanger-paris?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,45,4.8,,+33 9 54 00 99 65,"140 rue du Faubourg Poissonnière, 75010 Paris, France",75010 Paris,Paris,FR,48.880937,2.3499401,['French'],True,09:00-00:00,09:00-00:00,09:00-00:00,09:00-00:00,09:00-00:30 (overnight),09:00-00:30 (overnight),09:00-00:00
2,TWsuxL7J0iACK5KplxZMtA,le-p-tit-bistro-paris-2,Le P'tit Bistro,https://s3-media4.fl.yelpcdn.com/bphoto/lrnzcsuLrhN7wFiH-HI2AQ/o.jpg,https://www.yelp.com/biz/le-p-tit-bistro-paris-2?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,28,4.7,€€,+33 1 42 78 55 80,"8 rue Saint-Martin, 75004 Paris, France",75004 Paris,Paris,FR,48.85755,2.34938,"['Brasseries', 'Bars']",False,07:30-22:00,07:30-22:00,07:30-22:00,07:30-22:00,07:30-22:00,07:30-22:00,
3,15tUXLav_KIRjszu8IJJ3w,le-bistrot-des-vosges-paris,Le Bistrot des Vosges,https://s3-media3.fl.yelpcdn.com/bphoto/-IQcQMCy58EY6wMN3iiPZg/o.jpg,https://www.yelp.com/biz/le-bistrot-des-vosges-paris?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,92,4.3,€€,+33 1 42 72 94 85,"31 bd Beaumarchais, 75004 Paris, France",75004 Paris,Paris,FR,48.8557424,2.368231,['Bistros'],False,09:00-22:30,09:00-22:30,09:00-22:30,09:00-22:30,09:00-22:30,09:00-22:30,09:00-22:30
4,BPqBRgweCDLInSRww9qmYg,le-corner-saint-germain-paris,Le Corner Saint Germain,https://s3-media4.fl.yelpcdn.com/bphoto/1WgV5b-jwZD8KlC5bgMN0A/o.jpg,https://www.yelp.com/biz/le-corner-saint-germain-paris?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,33,4.6,,+33 1 43 54 34 44,"92 boulevard Saint-Germain, 75005 Paris, France",75005 Paris,Paris,FR,48.85126,2.34432,['French'],False,09:00-02:00 (overnight),09:00-02:00 (overnight),09:00-02:00 (overnight),09:00-02:00 (overnight),09:00-02:00 (overnight),09:00-02:00 (overnight),09:00-02:00 (overnight)
5,kYb2q4Li8Cw2PY_I9lCJOw,chez-janou-paris,Chez Janou,https://s3-media3.fl.yelpcdn.com/bphoto/-impdS4aihU-Hwih3GAmhw/o.jpg,https://www.yelp.com/biz/chez-janou-paris?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,650,4.1,€€,+33 1 42 72 28 41,"2 rue Roger Verlomme, 75003 Paris, France",75003 Paris,Paris,FR,48.8566952430158,2.36717752386277,"['Bistros', 'Provencal']",False,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00,07:00-00:00,07:00-16:00
6,vjJ5XviPtldKNqAevyoAug,chez-mademoiselle-paris-3,Chez Mademoiselle,https://s3-media3.fl.yelpcdn.com/bphoto/l7bjo-bUQdSTAiLAH5ZkPQ/o.jpg,https://www.yelp.com/biz/chez-mademoiselle-paris-3?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,126,4.5,€€€,+33 1 42 72 14 16,"16 rue Charlemagne, 75004 Paris, France",75004 Paris,Paris,FR,48.85432,2.35979,['French'],False,08:00-02:00 (overnight),08:00-02:00 (overnight),08:00-02:00 (overnight),08:00-02:00 (overnight),08:00-02:00 (overnight),08:00-02:00 (overnight),08:00-02:00 (overnight)
7,qz7R7oLeEEfvKOlWCxqMVw,les-philosophes-paris,Les Philosophes,https://s3-media1.fl.yelpcdn.com/bphoto/_hi1FXoi-Hz8Wf4m9BnKSQ/o.jpg,https://www.yelp.com/biz/les-philosophes-paris?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,385,3.9,€€,+33 1 48 87 49 64,"28 rue Vieille du Temple, 75004 Paris, France",75004 Paris,Paris,FR,48.857332,2.357493,['Bistros'],True,09:00-02:00 (overnight),09:00-02:00 (overnight),09:00-02:00 (overnight),09:00-02:00 (overnight),09:00-02:00 (overnight),09:00-02:00 (overnight),09:00-02:00 (overnight)
8,cEjF41ZQB8-SST8cd3EsEw,l-avant-comptoir-paris-3,L'Avant Comptoir,https://s3-media2.fl.yelpcdn.com/bphoto/V38oU4jfwMlY8Ue3vb-dBQ/o.jpg,https://www.yelp.com/biz/l-avant-comptoir-paris-3?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,695,4.4,€€,+33 1 42 38 47 55,"3 carrefour de l'Odéon, 75006 Paris, France",75006 Paris,Paris,FR,48.85202,2.3388,"['Tapas Bars', 'Wine Bars']",False,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00
9,w8i6UUhhAsb7whG1zhAqyQ,au-bourguignon-du-marais-paris,Au Bourguignon du Marais,https://s3-media1.fl.yelpcdn.com/bphoto/qpTE6nVz4LBGDESUwYCAPg/o.jpg,https://www.yelp.com/biz/au-bourguignon-du-marais-paris?adjust_creative=UK7s4vpkX9H0hgrhe5u5xA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UK7s4vpkX9H0hgrhe5u5xA,136,4.3,€€€,+33 1 48 87 15 40,"52 rue François Miron, 75004 Paris, France",75004 Paris,Paris,FR,48.8555191281373,2.3577103595245,['French'],False,12:00-23:00,12:00-23:30,12:00-23:30,12:00-23:30,12:00-23:30,12:00-23:30,12:00-23:00
